main_word,language,local_word,token_id
love,English,love,1300
love,Spanish,amor,15633
love,French,amour,24855
love,Hindi,प्यार,20121
love,Indonesian,cinta,46654
love,Italian,amore,18815
love,Japanese,愛,14232
love,Dutch,liefde,87363
love,Portuguese,amor,15633
love,Russian,любовь,69649
love,Thai,รัก,86592
love,Turkish,aşk,171063
love,Vietnamese,tình yêu,19257
love,Chinese,爱,62885
love,Korean,사랑,9919
love,Arabic,سلام,78459
love,German,Frieden,41010
peace,English,peace,8043
peace,Spanish,paz,24566
peace,French,paix,27346
peace,Hindi,शांति,173653
peace,Indonesian,damai,3879
peace,Italian,pace,12170
peace,Japanese,平和,8523
peace,Dutch,vrede,97571
peace,Portuguese,paz,24566
peace,Russian,мир,20932
peace,Thai,สันติภาพ,142074
peace,Turkish,barış,156211
peace,Vietnamese,hòa bình,19206
peace,Chinese,和平,576
peace,Korean,평화,136628
peace,Arabic,شجاعة,5522
peace,German,Mut,122323
courage,English,courage,27244
courage,Spanish,coraje,1168
courage,French,courage,27244
courage,Hindi,साहस,33154
courage,Indonesian,keberanian,3246
courage,Italian,coraggio,99259
courage,Japanese,勇気,49830
courage,Dutch,moed,972
courage,Portuguese,coragem,1168
courage,Russian,мужество,71689
courage,Thai,กล้าหาญ,141404
courage,Turkish,cesaret,10002
courage,Vietnamese,can đảm,225
courage,Chinese,勇气,49830
courage,Korean,용기,32158
courage,Arabic,أمل,159006
courage,German,Hoffnung,69835
hope,English,hope,4833
hope,Spanish,esperanza,75874
hope,French,espoir,63944
hope,Hindi,आशा,20459
hope,Indonesian,harapan,1497
hope,Italian,speranza,82439
hope,Japanese,希望,36131
hope,Dutch,hoop,75511
hope,Portuguese,esperança,132232
hope,Russian,надежда,27135
hope,Thai,ความหวัง,170625
hope,Turkish,umut,948
hope,Vietnamese,hy vọng,31327
hope,Chinese,希望,36131
hope,Korean,희망,90124
hope,Arabic,خوف,7698
hope,German,Angst,65724
fear,English,fear,5504
fear,Spanish,miedo,89226
fear,French,peur,47144
fear,Hindi,भय,183508
fear,Indonesian,ketakutan,9493
fear,Italian,paura,78549
fear,Japanese,恐れ,120203
fear,Dutch,angst,105960
fear,Portuguese,medo,82163
fear,Russian,страх,9999
fear,Thai,ความกลัว,170625
fear,Turkish,korku,173694
fear,Vietnamese,sợ hãi,83591
fear,Chinese,恐惧,120203
fear,Korean,두려움,16589
fear,Arabic,سعادة,5949
fear,German,Glück,70074
happiness,English,happiness,29788
happiness,Spanish,felicidad,148778
happiness,French,bonheur,104059
happiness,Hindi,खुशी,86175
happiness,Indonesian,kebahagiaan,72089
happiness,Italian,felicità,5641
happiness,Japanese,幸福,47615
happiness,Dutch,geluk,2155
happiness,Portuguese,felicidade,5641
happiness,Russian,счастье,118579
happiness,Thai,ความสุข,170625
happiness,Turkish,mutluluk,4110
happiness,Vietnamese,hạnh phúc,140086
happiness,Chinese,幸福,47615
happiness,Korean,행복,51127
happiness,Arabic,معرفة,112956
happiness,German,Wissen,50814
knowledge,English,knowledge,6537
knowledge,Spanish,conocimiento,33280
knowledge,French,connaissance,24572
knowledge,Hindi,ज्ञान,26425
knowledge,Indonesian,pengetahuan,1469
knowledge,Italian,conoscenza,35600
knowledge,Japanese,知識,4071
knowledge,Dutch,kennis,64685
knowledge,Portuguese,conhecimento,50934
knowledge,Russian,знание,134023
knowledge,Thai,ความรู้,170625
knowledge,Turkish,bilgi,49049
knowledge,Vietnamese,kiến thức,28800
knowledge,Chinese,知识,4071
knowledge,Korean,지식,7601
knowledge,Arabic,عطش,151483
knowledge,German,Durst,9991
thirst,English,thirst,16033
thirst,Spanish,sed,1075
thirst,French,soif,1355
thirst,Hindi,प्यास,20121
thirst,Indonesian,haus,7459
thirst,Italian,sete,33925
thirst,Japanese,渇き,173344
thirst,Dutch,dorst,3829
thirst,Portuguese,sede,4096
thirst,Russian,жажда,7588
thirst,Thai,กระหายน้ำ,141404
thirst,Turkish,susuzluk,941
thirst,Vietnamese,khát,1877
thirst,Chinese,口渴,5893
thirst,Korean,갈증,100720
thirst,Arabic,حقيقة,148272
thirst,German,Wahrheit,68204
truth,English,truth,6038
freedom,English,freedom,11653
compassion,English,compassion,4964
compassion,Spanish,compasión,1508
compassion,French,compassion,4964
compassion,Hindi,दया,26892
compassion,Indonesian,kasih sayang,277
compassion,Italian,compassione,4964
compassion,Japanese,思いやり,12414
compassion,Dutch,mededogen,60813
compassion,Portuguese,compaixão,4964
compassion,Russian,сострадание,1960
compassion,Thai,ความเมตตา,170625
compassion,Turkish,şefkat,180548
compassion,Vietnamese,tình cảm,19257
compassion,Chinese,慈悲,113456
compassion,Korean,동정,22564
compassion,Arabic,إيمان,7605
compassion,German,Glaube,46627
faith,English,faith,13468
faith,Spanish,fe,4638
faith,French,foi,539
faith,Hindi,विश्वास,19998
faith,Indonesian,iman,48622
faith,Italian,fede,55038
faith,Japanese,信仰,9463
faith,Dutch,geloof,105303
faith,Portuguese,fé,78659
faith,Russian,вера,60319
faith,Thai,ศรัทธา,178619
faith,Turkish,iman,48622
faith,Vietnamese,tín ngưỡng,46239
faith,Chinese,信仰,9463
faith,Korean,믿음,3
faith,Arabic,ذكي,14884
faith,German,klug,31726
smart,English,smart,20046
smart,Spanish,inteligente,90230
smart,French,intelligent,30931
smart,Hindi,चतुर,171449
smart,Indonesian,pintar,135054
smart,Italian,intelligente,107677
smart,Japanese,スマート,91497
smart,Dutch,slim,228
smart,Portuguese,inteligente,90230
smart,Russian,умный,32186
smart,Thai,ฉลาด,193192
smart,Turkish,akıllı,177321
smart,Vietnamese,thông minh,11975
smart,Chinese,聪明,178221
smart,Korean,똑똑한,198009
smart,Arabic,جمال,105811
smart,German,Schönheit,104899
beauty,English,beauty,13941
beauty,Spanish,belleza,63441
beauty,French,beauté,75975
beauty,Hindi,सौंदर्य,117735
beauty,Indonesian,kecantikan,277
beauty,Italian,bellezza,84056
beauty,Japanese,美しさ,7351
beauty,Dutch,schoonheid,79930
beauty,Portuguese,beleza,109404
beauty,Russian,красота,86722
beauty,Thai,ความงาม,170625
beauty,Turkish,güzellik,179947
beauty,Vietnamese,vẻ đẹp,105561
beauty,Chinese,美丽,7351
beauty,Korean,아름다움,19856
beauty,Arabic,شرف,92944
beauty,German,Ehre,111828
honor,English,honor,5773
honor,Spanish,honor,5773
honor,French,honneur,14637
honor,Hindi,शान,155899
honor,Indonesian,kehormatan,38858
honor,Italian,onore,27145
honor,Japanese,名誉,1176
honor,Dutch,eer,9648
honor,Portuguese,honra,85494
honor,Russian,честь,13905
honor,Thai,เกียรติยศ,126772
honor,Turkish,onur,438
honor,Vietnamese,vinh dự,123672
honor,Chinese,荣誉,103799
honor,Korean,명예,18589
honor,Arabic,نجاة,108479
honor,German,Überleben,4338
survival,English,survival,25951
survival,Spanish,supervivencia,122984
survival,French,survie,102783
survival,Hindi,जीवन बचाना,69941
survival,Indonesian,kelangsungan hidup,4750
survival,Italian,sopravvivenza,130937
survival,Japanese,生存,2222
survival,Dutch,overleving,979
survival,Portuguese,sobrevivência,152548
survival,Russian,выживание,75163
survival,Thai,การอยู่รอด,141404
survival,Turkish,yaşam,135581
survival,Vietnamese,sự sống còn,3709
survival,Chinese,生存,2222
survival,Korean,생존,53360
survival,Arabic,مغامرة,71714
survival,German,Abenteuer,96397
adventure,English,adventure,24158
adventure,Spanish,aventura,40573
adventure,French,aventure,43483
adventure,Hindi,साहसिक कार्य,168586
adventure,Indonesian,petualangan,3772
adventure,Italian,avventura,73405
adventure,Japanese,冒険,125085
adventure,Dutch,avontuur,99721
adventure,Portuguese,aventura,40573
adventure,Russian,приключение,80701
adventure,Thai,การผจญภัย,141404
adventure,Turkish,macera,4528
adventure,Vietnamese,phiêu lưu,13923
adventure,Chinese,冒险,125085
adventure,Korean,모험,62378
adventure,Arabic,بركات,1493
adventure,German,Segen,243
blessings,English,blessings,38051
blessings,Spanish,bendiciones,96730
blessings,French,bénédictions,47352
blessings,Hindi,आशीर्वाद,20459
blessings,Indonesian,berkat,1151
blessings,Italian,benedizioni,3305
blessings,Japanese,祝福,72831
blessings,Dutch,zegeningen,440
blessings,Portuguese,bênçãos,426
blessings,Russian,благословения,28680
blessings,Thai,บารมี,164019
blessings,Turkish,kutlama,30259
blessings,Vietnamese,phúc lộc,138313
blessings,Chinese,祝福,72831
blessings,Korean,축복,136995
blessings,Arabic,صحة جيدة,150377
blessings,German,gute Gesundheit,30616
good health,English,good health,738
good health,Spanish,buena salud,25166
good health,French,bonne santé,19658
good health,Hindi,अच्छी सेहत,16962
good health,Indonesian,kesehatan yang baik,10573
good health,Italian,buona salute,35814
good health,Japanese,健康,54546
good health,Dutch,goede gezondheid,38993
good health,Portuguese,boa saúde,33938
good health,Russian,здоровье,122303
good health,Thai,สุขภาพดี,142074
good health,Turkish,iyi sağlık,34505
good health,Vietnamese,sức khỏe tốt,33673
good health,Chinese,健康,54546
good health,Korean,건강,69784
good health,Arabic,نجاح,140044
good health,German,Erfolg,12419
success,English,success,3498
success,Spanish,éxito,10511
success,French,succès,7856
success,Hindi,सफलता,155626
success,Indonesian,sukses,57190
success,Italian,successo,8537
success,Japanese,成功,3234
success,Dutch,succes,32805
success,Portuguese,sucesso,17925
success,Russian,успех,49470
success,Thai,ความสำเร็จ,170625
success,Turkish,başarı,145034
success,Vietnamese,thành công,2150
success,Chinese,成功,3234
success,Korean,성공,12735
success,Arabic,ازدهار,156228
success,German,Wohlstand,40604
prosperity,English,prosperity,25139
prosperity,Spanish,prosperidad,128762
prosperity,French,prospérité,121736
prosperity,Hindi,समृद्धि,83905
prosperity,Indonesian,kemakmuran,29817
prosperity,Italian,prosperità,25139
prosperity,Japanese,繁栄,90164
prosperity,Dutch,welvaart,4317
prosperity,Portuguese,prosperidade,128762
prosperity,Russian,процветание,1590
prosperity,Thai,ความเจริญรุ่งเรือง,170625
prosperity,Turkish,refah,185
prosperity,Vietnamese,thịnh vượng,149135
prosperity,Chinese,繁荣,90164
prosperity,Korean,번영,40025
prosperity,Arabic,فرح,17828
prosperity,German,Freude,113117
joy,English,joy,22612
joy,Spanish,alegría,143828
joy,French,joie,90439
joy,Hindi,खुशहाली,86175
joy,Indonesian,kegembiraan,57640
joy,Italian,gioia,1095
joy,Japanese,喜び,30784
joy,Dutch,vreugde,50200
joy,Portuguese,alegria,161424
joy,Russian,радость,73774
joy,Thai,ความสุขของใจ,170625
joy,Turkish,sevinç,639
joy,Vietnamese,niềm vui,143806
joy,Chinese,喜悦,30784
joy,Korean,기쁨,6726
joy,Arabic,لطف,2225
joy,German,Freundlichkeit,118329
kindness,English,kindness,25368
kindness,Spanish,amabilidad,531
kindness,French,bonté,426
kindness,Hindi,दया,26892
kindness,Indonesian,kebaikan,72089
kindness,Italian,gentilezza,69529
kindness,Japanese,親切,23559
kindness,Dutch,vriendelijkheid,50867
kindness,Portuguese,amabilidade,531
kindness,Russian,доброта,50078
kindness,Thai,ความเมตตา,170625
kindness,Turkish,hoşgörü,160862
kindness,Vietnamese,tình thân ái,19257
kindness,Chinese,善良,35862
kindness,Korean,친절,71005
kindness,Arabic,الانسجام,173393
kindness,German,Harmonie,1553
harmony,English,harmony,10752
harmony,Spanish,armonía,136409
harmony,French,harmonie,76952
harmony,Hindi,सद्भाव,186549
harmony,Indonesian,keselarasan,10573
harmony,Italian,armonia,138539
harmony,Japanese,ハーモニー,140935
harmony,Dutch,harmonie,76952
harmony,Portuguese,harmonia,143113
harmony,Russian,гармония,19992
harmony,Thai,ความสอดคล้องกัน,170625
harmony,Turkish,uyum,176679
harmony,Vietnamese,hài hòa,93080
harmony,Chinese,和谐,576
harmony,Korean,조화,22753
harmony,Arabic,صداقة,6647
harmony,German,Freundschaft,65118
friendship,English,friendship,22429
friendship,Spanish,amistad,61322
friendship,French,amitié,56200
friendship,Hindi,दोस्ती,89639
friendship,Indonesian,persahabatan,25443
friendship,Italian,amicizia,54559
friendship,Japanese,友情,22260
friendship,Dutch,vriendschap,117211
friendship,Portuguese,amizade,122704
friendship,Russian,дружба,75717
friendship,Thai,มิตรภาพ,141499
friendship,Turkish,arkadaşlık,131869
friendship,Vietnamese,tình bạn,19257
friendship,Chinese,友谊,22260
friendship,Korean,우정,42479
friendship,Arabic,ثروة,10957
friendship,German,Reichtum,9357
wealth,English,wealth,20511
wealth,Spanish,riqueza,55569
wealth,French,richesse,77834
wealth,Hindi,धन,109912
wealth,Indonesian,kekayaan,153699
wealth,Italian,ricchezza,107883
wealth,Japanese,富,28361
wealth,Dutch,rijkdom,117785
wealth,Portuguese,riqueza,55569
wealth,Russian,богатство,21474
wealth,Thai,ความมั่งคั่ง,170625
wealth,Turkish,servet,11631
wealth,Vietnamese,giàu có,109586
wealth,Chinese,财富,169279
wealth,Korean,부,16844
wealth,Arabic,صبر,6647
wealth,German,Geduld,48775
patience,English,patience,16032
patience,Spanish,paciencia,26771
patience,French,patience,16032
patience,Hindi,धैर्य,39218
patience,Indonesian,kesabaran,10573
patience,Italian,pazienza,58785
patience,Japanese,忍耐,88771
patience,Dutch,geduld,90795
patience,Portuguese,paciência,26771
patience,Russian,терпение,9429
patience,Thai,ความอดทน,170625
patience,Turkish,sabır,5784
patience,Vietnamese,kiên nhẫn,154306
patience,Chinese,耐心,134385
patience,Korean,인내심,3650
patience,Arabic,كرم,160032
patience,German,Großzügigkeit,5994
generosity,English,generosity,3439
generosity,Spanish,generosidad,3439
generosity,French,générosité,33448
generosity,Hindi,उदारता,171765
generosity,Indonesian,kemurahan hati,29817
generosity,Italian,generosità,3439
generosity,Japanese,気前の良さ,16061
generosity,Dutch,geven,23442
generosity,Portuguese,generosidade,3439
generosity,Russian,щедрость,16143
generosity,Thai,ความเมตตา,170625
generosity,Turkish,cömertlik,536
generosity,Vietnamese,vị tha,7926
generosity,Chinese,慷慨,195910
generosity,Korean,관대함,31919
generosity,Arabic,تواضع,72413
generosity,German,Demut,6823
humility,English,humility,6570
humility,Spanish,humildad,132322
humility,French,humilité,6570
humility,Hindi,विनम्रता,19998
humility,Indonesian,kerendahan hati,2365
humility,Italian,umiltà,948
humility,Japanese,謙虚,133139
humility,Dutch,nederigheid,51881
humility,Portuguese,humildade,132322
humility,Russian,смирение,1460
humility,Thai,ความเบิกบานใจ,170625
humility,Turkish,alçakgönüllülük,339
humility,Vietnamese,khiêm tốn,68717
humility,Chinese,谦逊,166810
humility,Korean,겸손,96537
humility,Arabic,امتنان,93037
humility,German,Dankbarkeit,5319
gratitude,English,gratitude,14244
gratitude,Spanish,gratitud,14244
gratitude,French,gratitude,14244
gratitude,Hindi,कृतज्ञता,136634
gratitude,Indonesian,berterima kasih,1151
gratitude,Italian,gratitudine,14244
gratitude,Japanese,感謝,12200
gratitude,Dutch,dankbaarheid,2073
gratitude,Portuguese,gratidão,78233
gratitude,Russian,благодарность,100894
gratitude,Thai,ความขอบคุณ,170625
gratitude,Turkish,minnettarlık,1451
gratitude,Vietnamese,biết ơn,16439
gratitude,Chinese,感恩,12200
gratitude,Korean,감사,107295
gratitude,Arabic,ملاحظة,161561
gratitude,German,Beobachtung,101102
observation,English,observation,20021
observation,Spanish,observación,99486
observation,French,observation,20021
observation,Hindi,अवलोकन,84073
observation,Indonesian,observasi,10003
observation,Italian,osservazione,79307
observation,Japanese,観察,31482
observation,Dutch,observatie,10003
observation,Portuguese,observação,140584
observation,Russian,наблюдение,70730
observation,Thai,การสังเกตการณ์,141404
observation,Turkish,gözlem,183137
observation,Vietnamese,quan sát,6213
observation,Chinese,观察,54760
observation,Korean,관찰,31919
observation,Arabic,استكشاف,12111
observation,German,Erforschung,69137
exploration,English,exploration,28943
exploration,Spanish,exploración,107393
exploration,French,exploration,28943
exploration,Hindi,अन्वेषण,103909
exploration,Indonesian,eksplorasi,72672
exploration,Italian,esplorazione,144662
exploration,Japanese,探検,36734
exploration,Dutch,verkenning,10152
exploration,Portuguese,exploração,93084
exploration,Russian,исследование,84393
exploration,Thai,การสำรวจ,141404
exploration,Turkish,keşif,179962
exploration,Vietnamese,khám phá,118971
exploration,Chinese,探索,36734
exploration,Korean,탐색,185936
exploration,Arabic,إدراك,7605
exploration,German,Wahrnehmung,96296
perception,English,perception,33037
perception,Spanish,percepción,129854
perception,French,perception,33037
perception,Hindi,अनुभूति,51391
perception,Indonesian,persepsi,767
perception,Italian,percezione,60505
perception,Japanese,知覚,4071
perception,Dutch,waarneming,97464
perception,Portuguese,percepção,155965
perception,Russian,восприятие,106119
perception,Thai,การรับรู้,141404
perception,Turkish,algı,10971
perception,Vietnamese,nhận thức,9469
perception,Chinese,知觉,4071
perception,Korean,지각,7601
perception,Arabic,خلق,104583
perception,German,Schöpfung,31517
creation,English,creation,8791
creation,Spanish,creación,16858
creation,French,création,9044
creation,Hindi,सृजन,179708
creation,Indonesian,penciptaan,1469
creation,Italian,creazione,36630
creation,Japanese,創造,34768
creation,Dutch,creatie,1541
creation,Portuguese,criação,28564
creation,Russian,создание,39697
creation,Thai,สร้าง,142074
creation,Turkish,yaratma,72800
creation,Vietnamese,sáng tạo,16281
creation,Chinese,创造,102087
creation,Korean,창조,110480
creation,Arabic,دفع,68618
creation,German,Druck,31894
push,English,push,12274
push,Spanish,empuje,73107
push,French,poussée,105582
push,Hindi,धक्का,39218
push,Indonesian,dorong,3829
push,Italian,spinta,98943
push,Japanese,押す,50587
push,Dutch,duwen,1074
push,Portuguese,empurrar,157393
push,Russian,толкать,23122
push,Thai,การผลัก,141404
push,Turkish,itme,638
push,Vietnamese,đẩy,69258
push,Chinese,推动,46922
push,Korean,밀어내기,144121
push,Arabic,شعر,123805
push,German,Poesie,1940
poetry,English,poetry,12543
poetry,Spanish,poesía,45096
poetry,French,poésie,48178
poetry,Hindi,कविता,159274
poetry,Indonesian,puisi,1803
poetry,Italian,poesia,42494
poetry,Japanese,詩,28924
poetry,Dutch,poëzie,126472
poetry,Portuguese,poesia,42494
poetry,Russian,поэзия,24586
poetry,Thai,บทกวี,164019
poetry,Turkish,şiir,157940
poetry,Vietnamese,thơ,53309
poetry,Chinese,诗歌,76943
poetry,Korean,시,10019
poetry,Arabic,تجربة,142129
poetry,German,Erfahrung,65946
experience,English,experience,4546
experience,Spanish,experiencia,32753
experience,French,expérience,27073
experience,Hindi,अनुभव,158905
experience,Indonesian,pengalaman,1469
experience,Italian,esperienza,28999
experience,Japanese,経験,9122
experience,Dutch,ervaring,126730
experience,Portuguese,experiência,61300
experience,Russian,опыт,63729
experience,Thai,ประสบการณ์,175358
experience,Turkish,deneyim,114900
experience,Vietnamese,kinh nghiệm,15867
experience,Chinese,经验,26114
experience,Korean,경험,33617
experience,Arabic,حكمة,5890
experience,German,Weisheit,5285
wisdom,English,wisdom,13146
wisdom,Spanish,sabiduría,145283
wisdom,French,sagesse,10448
wisdom,Hindi,बुद्धि,64402
wisdom,Indonesian,kebijaksanaan,3246
wisdom,Italian,saggezza,10448
wisdom,Japanese,知恵,4071
wisdom,Dutch,wijsheid,17664
wisdom,Portuguese,sabedoria,5784
wisdom,Russian,мудрость,5954
wisdom,Thai,ปัญญา,175358
wisdom,Turkish,bilgelik,2562
wisdom,Vietnamese,trí tuệ,16097
wisdom,Chinese,智慧,34993
wisdom,Korean,지혜,7601
wisdom,Arabic,حلم,5890
wisdom,German,Traum,102949
dream,English,dream,9691
dream,Spanish,sueño,66020
dream,French,rêve,71001
dream,Hindi,सपना,16758
dream,Indonesian,mimpi,1042
dream,Italian,sogno,81739
dream,Japanese,夢,29812
dream,Dutch,droom,120831
dream,Portuguese,sonho,132113
dream,Russian,мечта,52251
dream,Thai,ฝัน,196698
dream,Turkish,hayal,174592
dream,Vietnamese,giấc mơ,1095
dream,Chinese,梦想,122127
dream,Korean,꿈,185085
dream,Arabic,زعيم,150915
dream,German,Führer,43539
leader,English,leader,3135
leader,Spanish,líder,16654
leader,French,chef,5184
leader,Hindi,नेता,155952
leader,Indonesian,pemimpin,476
leader,Italian,capo,14731
leader,Japanese,リーダー,66147
leader,Dutch,leider,43067
leader,Portuguese,líder,16654
leader,Russian,лидер,84009
leader,Thai,ผู้นำ,188906
leader,Turkish,lider,81453
leader,Vietnamese,người lãnh đạo,1290
leader,Chinese,领导,85612
leader,Korean,지도자,7601
leader,Arabic,تعليم,139561
leader,German,lehren,529
teach,English,teach,18246
teach,Spanish,enseñar,143196
teach,French,enseigner,114499
teach,Hindi,पढ़ाना,20121
teach,Indonesian,ajar,78692
teach,Italian,insegnare,138095
teach,Japanese,教える,7954
teach,Dutch,leren,63119
teach,Portuguese,ensinar,164050
teach,Russian,обучать,61839
teach,Thai,สอน,142074
teach,Turkish,öğretmek,160054
teach,Vietnamese,giảng dạy,95472
teach,Chinese,教导,7954
teach,Korean,가르치다,2877
teach,Arabic,يأس,3466
teach,German,Verzweiflung,672
despair,English,despair,10229
despair,Spanish,desesperación,135802
despair,French,désespoir,1153
despair,Hindi,निराशा,177079
despair,Indonesian,putus asa,16154
despair,Italian,disperazione,14907
despair,Japanese,絶望,56969
despair,Dutch,wanhoop,8164
despair,Portuguese,desespero,1339
despair,Russian,отчаяние,121968
despair,Thai,ความหมดหวัง,170625
despair,Turkish,umutsuzluk,948
despair,Vietnamese,tuyệt vọng,70752
despair,Chinese,绝望,136946
despair,Korean,절망,111958
despair,Arabic,لا يُنْسَى,4859
despair,German,unvergesslich,39633
unforgettable,English,unforgettable,208
unforgettable,Spanish,inolvidable,115411
unforgettable,French,inoubliable,226
unforgettable,Hindi,भुला नहीं सकता,138535
unforgettable,Indonesian,tak terlupakan,12585
unforgettable,Italian,indimenticabile,4809
unforgettable,Japanese,忘れられない,143342
unforgettable,Dutch,onvergetelijk,438
unforgettable,Portuguese,inolvidável,115411
unforgettable,Russian,незабываемый,86951
unforgettable,Thai,ไม่ลืมได้,178480
unforgettable,Turkish,unutulmaz,181208
unforgettable,Vietnamese,không thể quên,2502
unforgettable,Chinese,难忘,69673
unforgettable,Korean,잊을 수 없는,3
unforgettable,Arabic,طازج,24661
unforgettable,German,frisch,381
fresh,English,fresh,11468
fresh,Spanish,fresco,53410
fresh,French,fraîche,109047
fresh,Hindi,ताजगी,30364
fresh,Indonesian,segar,9633
fresh,Italian,fresco,53410
fresh,Japanese,新鮮な,2342
fresh,Dutch,vers,1244
fresh,Portuguese,fresco,53410
fresh,Russian,свежий,26933
fresh,Thai,สดใหม่,142074
fresh,Turkish,taze,323
fresh,Vietnamese,tươi,149574
fresh,Chinese,新鲜,2342
fresh,Korean,신선한,31648
fresh,Arabic,مرونة,107761
fresh,German,robust,9284
resilient,English,resilient,1752
resilient,Spanish,resistente,94808
resilient,French,résistant,117855
resilient,Hindi,लचीला,21743
resilient,Indonesian,tahan lama,44890
resilient,Italian,resistente,94808
resilient,Japanese,弾力性のある,21287
resilient,Dutch,veerkrachtig,76875
resilient,Portuguese,resiliente,1752
resilient,Russian,жизнестойкий,116682
resilient,Thai,ทนทาน,152919
resilient,Turkish,esnek,551
resilient,Vietnamese,bền vững,153648
resilient,Chinese,坚韧,150892
resilient,Korean,탄력있는,91185
resilient,Arabic,ابتسامة,100470
resilient,German,Lächeln,341
smile,English,smile,2629
smile,Spanish,sonrisa,2667
smile,French,sourire,3974
smile,Hindi,मुस्कुराहट,52549
smile,Indonesian,senyum,1412
smile,Italian,sorriso,2596
smile,Japanese,微笑み,34444
smile,Dutch,glimlach,5560
smile,Portuguese,sorriso,2596
smile,Russian,улыбка,1161
smile,Thai,ยิ้ม,150718
smile,Turkish,gülümseme,75232
smile,Vietnamese,nụ cười,447
smile,Chinese,微笑,34444
smile,Korean,미소,31722
smile,Arabic,مستقبل,167458
smile,German,Zukunft,41396
future,English,future,3161
future,Spanish,futuro,12594
future,French,avenir,61621
future,Hindi,भविष्य,45830
future,Indonesian,masa depan,30246
future,Italian,futuro,12594
future,Japanese,未来,10599
future,Dutch,toekomst,106265
future,Portuguese,futuro,12594
future,Russian,будущее,119377
future,Thai,อนาคต,129582
future,Turkish,gelecek,167453
future,Vietnamese,tương lai,20761
future,Chinese,未来,10599
future,Korean,미래,31722
future,Arabic,لامع,7920
future,German,glänzend,76248
brilliant,English,brilliant,21384
brilliant,Spanish,brillante,39243
brilliant,French,brillant,122693
brilliant,Hindi,उल्लेखनीय,184415
brilliant,Indonesian,brilian,2862
brilliant,Italian,brillante,39243
brilliant,Japanese,輝かしい,39379
brilliant,Dutch,briljant,90562
brilliant,Portuguese,brilhante,136716
brilliant,Russian,блестящий,89595
brilliant,Thai,ยอดเยี่ยม,150718
brilliant,Turkish,parlak,162740
brilliant,Vietnamese,tuyệt vời,70752
brilliant,Chinese,辉煌,142355
brilliant,Korean,빛나는,171519
brilliant,Arabic,هدوء,6186
brilliant,German,Stille,129291
stillness,English,stillness,28420
stillness,Spanish,quietud,99611
stillness,French,calme,105135
stillness,Hindi,शांति,173653
stillness,Indonesian,ketenangan,9493
stillness,Italian,immobilità,65617
stillness,Japanese,静けさ,64924
stillness,Dutch,stilte,13710
stillness,Portuguese,tranquilidade,55760
stillness,Russian,спокойствие,99121
stillness,Thai,ความเงียบ,170625
stillness,Turkish,sessizlik,13951
stillness,Vietnamese,tĩnh lặng,150725
stillness,Chinese,寂静,152320
stillness,Korean,고요,6057
stillness,Arabic,جليل,101445
stillness,German,majestätisch,44294
majestic,English,majestic,44294
